treatment_effect_hat,standard_error_HC3,ci_lower,ci_upper,ci_length,covered,n_selected_outcome_controls,n_selected_treatment_controls,lasso_penalty,outcome_lasso_penalty,treatment_lasso_penalty
2.0474560345286252,0.04792785498798258,1.953519164895921,2.1413929041613295,0.18787373926540862,1,20,25,0.2652683980321961,0.2652683980321961,0.11605649391695518
1.8568742450360172,0.054217629950388674,1.7506096430061353,1.963138847065899,0.21252920405976372,0,48,35,0.15782629248936386,0.15782629248936386,0.09051278665422406
2.0180787351396496,0.061250435671448604,1.898030087186223,2.1381273830930763,0.24009729590685325,1,27,24,0.1936644523624108,0.1936644523624108,0.09169786142573556
1.8330541182634628,0.04627842625787527,1.7423500695368346,1.923758166990091,0.18140809745325637,0,44,35,0.17147457299707844,0.17147457299707844,0.09895996364421947
2.028353979808219,0.05135612718821694,1.9276978201338557,2.1290101394825824,0.20131231934872673,1,22,27,0.2512192013800234,0.2512192013800234,0.11279383851047763
2.074269323868204,0.051641494870537964,1.9730538538141396,2.1754847939222683,0.2024309401081288,1,35,31,0.18410380394324835,0.18410380394324835,0.0759038769202148
2.0316455801359425,0.055977829781115485,1.9219310498322426,2.1413601104396425,0.21942906060739986,1,33,38,0.20931793413429903,0.20931793413429903,0.09239338209464837
1.9331447148288807,0.05670048509824947,1.8220138061303617,2.0442756235273998,0.2222618173970381,1,36,28,0.18380582219273647,0.18380582219273647,0.10049444947372992
2.0136719209990632,0.0495793270322588,1.916498225638103,2.1108456163600238,0.19434739072192087,1,17,16,0.24095394854996907,0.24095394854996907,0.11479181163837118
1.9454745488079654,0.06338708274507979,1.8212381495425487,2.069710948073382,0.24847279853083348,1,16,10,0.21514557781800664,0.21514557781800664,0.1160644320952617
2.091839529567894,0.06323012292301879,1.9679107659007369,2.2157682932350515,0.24785752733431465,1,23,27,0.22508772021324466,0.22508772021324466,0.09059444451184877
1.9915007680007095,0.05523752831263698,1.8832372019129295,2.0997643340884897,0.2165271321755602,1,27,22,0.24513683410541492,0.24513683410541492,0.11416141453381436
2.114573703203282,0.06043245546437155,1.996128266995793,2.233019139410771,0.23689087241497808,1,30,42,0.20887881904462938,0.20887881904462938,0.0756886559681598
1.8824154678854568,0.05141335772188688,1.7816471384262842,1.9831837973446294,0.20153665891834516,0,20,23,0.22005151640056975,0.22005151640056975,0.11271363260908912
2.00296841518646,0.05618895691867722,1.8928400832969798,2.11309674707594,0.22025666377896003,1,30,35,0.19114318564429678,0.19114318564429678,0.08286945980173553
1.9470821615039013,0.05185080340541322,1.8454564542598246,2.048707868747978,0.2032514144881532,1,19,20,0.23987621975580953,0.23987621975580953,0.1149630970082575
1.9995248284163494,0.052271612939480044,1.8970743496411506,2.101975307191548,0.2049009575503975,1,27,23,0.24710575679002983,0.24710575679002983,0.12256004613862546
2.08096138862801,0.06298308250965627,1.9575168152737692,2.204405961982251,0.24688914670848194,1,30,34,0.1990626424795753,0.1990626424795753,0.0769174594382222
1.868278194411829,0.05549075718325852,1.759518308857785,1.9770380799658729,0.21751977110808784,0,43,25,0.1828391367020129,0.1828391367020129,0.12153522525836895
2.0526359729341146,0.04964427442247991,1.955334983027431,2.149936962840798,0.19460197981336713,1,29,42,0.20199061618798222,0.20199061618798222,0.08119177438664599
2.085452315725351,0.058676517438497666,1.970448454807659,2.200456176643043,0.23000772183538376,1,37,58,0.17190444889125125,0.17190444889125125,0.06613277457693255
2.0269840419803398,0.058300385376209095,1.9127173863581644,2.141250697602515,0.22853331124435083,1,22,12,0.2606715958461458,0.2606715958461458,0.12300743486320771
2.1041009862038336,0.0573590350909369,1.991679343237628,2.216522629170039,0.22484328593241099,1,27,32,0.26375967575178816,0.26375967575178816,0.09962533138958996
2.0609372893239772,0.05934505595261516,1.9446231169963373,2.1772514616516174,0.23262834465528015,1,34,27,0.21586943571978975,0.21586943571978975,0.09994697884221036
2.2891373907000685,0.07049458196958072,2.1509705489344837,2.4273042324656533,0.2763336835311696,0,33,77,0.20349486917152643,0.20349486917152643,0.05861123482360906
1.8573754257853978,0.052817935866059686,1.7538541737501745,1.9608966778206212,0.20704250407044666,0,52,31,0.16233392760473614,0.16233392760473614,0.10125564735218759
