treatment_effect_hat,standard_error_HC3,ci_lower,ci_upper,ci_length,covered,n_selected_outcome_controls,n_selected_treatment_controls,lasso_penalty,outcome_lasso_penalty,treatment_lasso_penalty
2.0047892368022193,0.08445626648341444,1.8392579962260098,2.170320477378429,0.3310624811524192,1,19,15,0.26517073853045203,0.26517073853045203,0.1023257547677206
2.046250173958599,0.06938970385571715,1.9102488535034934,2.182251494413705,0.27200264091021165,1,15,27,0.29400022890644895,0.29400022890644895,0.08375264109421832
2.0485859592251345,0.07046757359997631,1.9104720528912553,2.1866998655590137,0.2762278126677584,1,20,16,0.2268147987708252,0.2268147987708252,0.12098559471906702
2.0384053268212203,0.07227931895049794,1.896740464851161,2.1800701887912797,0.2833297239401187,1,19,16,0.23763159070464615,0.23763159070464615,0.1080340547955198
2.0196670161811063,0.07581141842591162,1.8710793664494234,2.1682546659127895,0.29717529946336607,1,16,19,0.22163222704278904,0.22163222704278904,0.09336524602986268
1.8406063272973623,0.07596912852952378,1.6917095714426014,1.9895030831521232,0.29779351170952184,0,11,19,0.2117969423753231,0.2117969423753231,0.0984990942739006
1.9456461109250278,0.062180315993333214,1.8237749310307747,2.0675172908192807,0.243742359788506,1,9,11,0.30466018274162504,0.30466018274162504,0.1377292252720349
2.0365013596384434,0.0799075164274254,1.8798855053466468,2.1931172139302397,0.31323170858359295,1,26,20,0.17323446638306841,0.17323446638306841,0.07797824271339401
2.0830144662975685,0.06671564276024296,1.9522542092820518,2.213774723313085,0.26152051403103305,1,20,21,0.23339537879318106,0.23339537879318106,0.10094826411044241
2.003125425934164,0.05599059797150212,1.8933858704371587,2.1128649814311697,0.21947911099401107,1,21,17,0.18431034803831065,0.18431034803831065,0.09023524630710285
1.9082666586408252,0.08214859250345606,1.7472583759533942,2.0692749413282563,0.3220165653748621,1,24,22,0.3004215495831882,0.3004215495831882,0.09676565265661975
2.032929944622425,0.07386779278548142,1.8881517311454137,2.177708158099436,0.2895564269540225,1,11,14,0.32567082416783355,0.32567082416783355,0.1280699229080646
1.8010902410321403,0.09219681691951698,1.620387800380654,1.9817926816836267,0.36140488130297266,0,23,23,0.22143884407693343,0.22143884407693343,0.10974193939887893
2.037462108331333,0.05609179957713144,1.9275242013321163,2.1474000153305495,0.21987581399843315,1,15,14,0.23652151616934372,0.23652151616934372,0.10816445479731487
1.9694320323196894,0.06507958037475423,1.8418783986561915,2.0969856659831874,0.25510726732699585,1,21,16,0.28507601500144236,0.28507601500144236,0.13004164670672916
2.089526100722006,0.06675568250448521,1.9586873672498244,2.2203648341941875,0.2616774669443631,1,19,28,0.26489982589940125,0.26489982589940125,0.08558817004354768
2.0523124351423077,0.07540667717662812,1.904518063682278,2.2001068066023373,0.2955887429200592,1,18,21,0.2633463594323089,0.2633463594323089,0.12245902190694859
1.8157994559828856,0.07293390685781347,1.6728516252897723,1.958747286675999,0.2858956613862267,0,15,19,0.23341261985053757,0.23341261985053757,0.09945873718180949
1.9294443067817715,0.07183898445482174,1.788642484564388,2.070246128999155,0.28160364443476693,1,68,69,0.09087834906780491,0.09087834906780491,0.03579961517442579
2.059769431570264,0.10077277134849508,1.862258429104924,2.2572804340356045,0.3950220049306805,1,25,41,0.1758285344391699,0.1758285344391699,0.057546160406094574
2.098412377104606,0.08553491218487688,1.930767029801451,2.266057724407761,0.3352906946063099,1,21,17,0.20997244292992118,0.20997244292992118,0.08499007027398507
1.9439734129898945,0.06692143771930144,1.8128098052664234,2.0751370207133655,0.26232721544694204,1,15,15,0.2568725785150406,0.2568725785150406,0.11078202276535404
1.9571556589865953,0.07723612200822708,1.8057756415449289,2.1085356764282617,0.3027600348833328,1,15,20,0.22618948598331245,0.22618948598331245,0.08961612190404085
1.7862069416296658,0.06928601315086598,1.6504088512216,1.9220050320377315,0.27159618081613157,0,42,21,0.13531158539430807,0.13531158539430807,0.08572054238655229
2.4313893260276798,0.08313037082864619,2.2684567931820743,2.5943218588732853,0.325865065691211,0,16,43,0.2468827811777546,0.2468827811777546,0.060706925581075745
2.412077688911412,0.07985550120998627,2.255563782572444,2.5685915952503797,0.31302781267793556,0,20,38,0.23559579330697214,0.23559579330697214,0.06227617939063689
2.010150468065642,0.06728939655340634,1.878265674279532,2.142035261851752,0.26376958757222013,1,24,21,0.18961885762838285,0.18961885762838285,0.09325339740216376
1.951970086631883,0.08114037424518458,1.7929378754192198,2.111002297844546,0.3180644224253262,1,13,16,0.2497329841647435,0.2497329841647435,0.1241719563053201
2.0852604788117333,0.07528323939279437,1.9377080409623493,2.2328129166611173,0.295104875698768,1,16,18,0.24805474292517593,0.24805474292517593,0.13813725217683628
1.9904132963790868,0.07541672145100617,1.8425992385030254,2.1382273542551484,0.295628115752123,1,22,20,0.24535115331171053,0.24535115331171053,0.10560757622325515
1.9164320874272098,0.06931989768327985,1.7805675845559799,2.05229659029844,0.2717290057424602,1,27,20,0.18991642602075698,0.18991642602075698,0.0943214734330282
1.8658633169401622,0.06850350384993759,1.7315989165794836,2.000127717300841,0.2685288007213573,1,20,20,0.2133792841762273,0.2133792841762273,0.10485349992075967
1.9498261964995645,0.07514513796197955,1.8025444324807909,2.097107960518338,0.29456352803754715,1,14,20,0.28223944017226293,0.28223944017226293,0.09251210325608397
1.9589335481302506,0.06742672403595196,1.8267795974242635,2.0910874988362376,0.264307901411974,1,26,15,0.17541444631267103,0.17541444631267103,0.10095971489552567
2.291344817591403,0.06884121138966807,2.156418522615545,2.426271112567261,0.2698525899517161,0,27,37,0.21720240164520427,0.21720240164520427,0.07163136697355667
1.942343873321546,0.07730440702903894,1.7908300196984046,2.0938577269446874,0.3030277072462828,1,20,21,0.19799792702615873,0.19799792702615873,0.09076118531960105
2.115050612804195,0.08828192212357731,1.9420212249560138,2.2880800006523763,0.34605877569636245,1,31,44,0.1708389661206262,0.1708389661206262,0.05931343782482551
2.1189017914155808,0.07296260761978193,1.9758977082626805,2.2619058745684812,0.2860081663058007,1,11,12,0.3083318972531615,0.3083318972531615,0.14386617128574627
2.0170690676630745,0.07515624500032732,1.8697655342491644,2.1643726010769844,0.29460706682782,1,16,14,0.23452361024000087,0.23452361024000087,0.10894349574793316
