treatment_effect_hat,standard_error_HC3,ci_lower,ci_upper,ci_length,covered,n_selected_outcome_controls,n_selected_treatment_controls,lasso_penalty,outcome_lasso_penalty,treatment_lasso_penalty
2.1217035957362675,0.08137652375890435,1.962208539981747,2.2811986514907883,0.3189901115090412,1,20,20,,,
1.9372795007900776,0.08478134203844272,1.7711111238337582,2.103447877746397,0.3323367539126387,1,20,20,,,
2.0028373873586354,0.07618890572894582,1.8535098761083841,2.1521648986088864,0.29865502250050224,1,20,20,,,
2.05477501080356,0.09007795671384355,1.8782254598434687,2.2313245617636515,0.3530991019201828,1,20,20,,,
2.048777255235608,0.0844266264290431,1.883304108098466,2.21425040237275,0.330946294274284,1,20,20,,,
1.9444666072183567,0.08134088567051527,1.7850414008335567,2.103891813603157,0.31885041276960013,1,20,20,,,
1.9863567595787934,0.06804081939835067,1.8529992040794319,2.119714315078155,0.26671511099872336,1,20,20,,,
1.8839801356924366,0.08108736211468559,1.7250518263462953,2.042908445038578,0.3178566186922829,1,20,20,,,
1.9273077373567764,0.07361050376058173,1.783033801102186,2.071581673611367,0.2885478725091808,1,20,20,,,
2.1163216715571056,0.06441199793428987,1.990076475433629,2.242566867680582,0.252490392246953,1,20,20,,,
2.0677755844235195,0.0705247246323563,1.9295496641244962,2.2060015047225425,0.2764518405980463,1,20,20,,,
2.0596178908997103,0.08480561261604104,1.8934019444854142,2.2258338373140063,0.3324318928285921,1,20,20,,,
2.112627483707607,0.0738783067784097,1.9678286631831228,2.2574263042320917,0.2895976410489689,1,20,20,,,
2.06766381382005,0.07997030922915888,1.9109248878983676,2.2244027397417323,0.31347785184336474,1,20,20,,,
1.9140770225360164,0.09773601336466671,1.7225179563487443,2.105636088723289,0.3831181323745445,1,20,20,,,
1.9738131707534246,0.09147420567426895,1.7945270221174479,2.1530993193894012,0.3585722972719534,1,20,20,,,
2.032685993730685,0.08707841358881152,1.8620154392657313,2.203356548195639,0.34134110892990766,1,20,20,,,
2.056265546880786,0.08415070815547185,1.8913331896225203,2.221197904139052,0.3298647145165319,1,20,20,,,
2.0840864299577886,0.09012216723182313,1.9074502279747194,2.2607226319408578,0.35327240396613835,1,20,20,,,
1.928848979517086,0.0742561025059629,1.7833096929730843,2.0743882660610877,0.29107857308800344,1,20,20,,,
2.006100950095172,0.0702851898578238,1.8683445093272772,2.1438573908630665,0.27551288153578923,1,20,20,,,
1.9700194098680162,0.06866441586950804,1.8354396277443,2.1045991919917326,0.2691595642474327,1,20,20,,,
1.939505168493945,0.07793368034385645,1.7867579618373293,2.0922523751505606,0.30549441331323135,1,20,20,,,
2.0551259094975163,0.07811026228416276,1.9020326085975798,2.2082192103974525,0.30618660179987267,1,20,20,,,
2.07343935814673,0.07572625083416656,1.9250186338275175,2.221860082465943,0.29684144863842543,1,20,20,,,
2.025215524421233,0.07703698959609401,1.8742257993355018,2.176205249506964,0.3019794501714621,1,20,20,,,
1.9863043286121826,0.08321284651023805,1.8232101464010566,2.1493985108233087,0.3261883644222521,1,20,20,,,
2.078357197473716,0.06870475703153309,1.9436983481253363,2.213016046822096,0.2693176986967598,1,20,20,,,
1.9391653178743078,0.07757049845343837,1.7871299346427487,2.091200701105867,0.30407076646311815,1,20,20,,,
2.0546766283320768,0.0668407685676535,1.9236711292404989,2.1856821274236546,0.26201099818315576,1,20,20,,,
1.9930529007188296,0.07732770850357978,1.8414933770448014,2.1446124243928577,0.3031190473480563,1,20,20,,,
2.0397627608475775,0.08770506257010104,1.8678639969483475,2.211661524746807,0.34379752779845973,1,20,20,,,
2.04213064160297,0.1019653250265697,1.8422822768789728,2.241979006326967,0.3996967294479943,1,20,20,,,
1.9210757254733521,0.07426526387330577,1.7755184829793091,2.066632967967395,0.2911144849880858,1,20,20,,,
2.1316789988379394,0.07679390629403285,1.9811657082694913,2.2821922894063875,0.3010265811368962,1,20,20,,,
1.9658307454529562,0.0760169780524086,1.8168402062566635,2.1148212846492487,0.29798107839258514,1,20,20,,,
1.9966734691570045,0.07208541725461166,1.8553886475274235,2.1379582907865857,0.28256964325916223,1,20,20,,,
1.8524838790810079,0.07271669185481835,1.7099617819706667,1.995005976191349,0.2850441942206823,0,20,20,,,
1.9894438496481015,0.06856461137453984,1.8550596807400181,2.123828018556185,0.26876833781616694,1,20,20,,,
2.103181023747494,0.07531194240528458,1.9555723290273814,2.2507897184676064,0.295217389440225,1,20,20,,,
1.8960904174869868,0.08211131950717397,1.7351551885298646,2.057025646444109,0.3218704579142442,1,20,20,,,
1.9965396001561209,0.07234287003485185,1.8547501803495494,2.1383290199626925,0.2835788396131431,1,20,20,,,
2.0008160705351954,0.07315589351389115,1.8574331539911213,2.1441989870792693,0.28676583308814796,1,20,20,,,
2.0539674686123335,0.083426293346171,1.8904549382901648,2.217479998934502,0.32702506064433745,1,20,20,,,
1.8615500625182655,0.06837871228313791,1.7275302491340885,1.9955698759024425,0.268039626768354,0,20,20,,,
2.0594766937365803,0.08281228277033188,1.897167602029183,2.2217857854439775,0.32461818341479454,1,20,20,,,
2.0350624670645727,0.09197828708801341,1.854788337012381,2.2153365971167647,0.3605482601043837,1,20,20,,,
2.0896260957508197,0.07171482785456684,1.9490676159983789,2.2301845755032605,0.2811169595048817,1,20,20,,,
2.0858626267115024,0.08129882893015739,1.9265198500231109,2.245205403399894,0.31868555337678295,1,20,20,,,
2.084597837535917,0.07037520060434256,1.9466649789466242,2.22253069612521,0.27586571717858566,1,20,20,,,
1.9420413782739128,0.08582598375640549,1.7738255411736383,2.110257215374187,0.33643167420054887,1,20,20,,,
2.067186066144101,0.07251942667993146,1.925050601671942,2.2093215306162595,0.2842709289443175,1,20,20,,,
1.9933835428796818,0.07616137605828757,1.844109988792427,2.1426570969669365,0.29854710817450947,1,20,20,,,
1.9825302094501338,0.06626970443701449,1.8526439754874713,2.1124164434127963,0.25977246792532505,1,20,20,,,
