treatment_effect_hat,standard_error_HC3,ci_lower,ci_upper,ci_length,covered,n_selected_outcome_controls,n_selected_treatment_controls,lasso_penalty,outcome_lasso_penalty,treatment_lasso_penalty
2.1432959322551124,inf,-inf,inf,inf,1,384,384,,,
2.056206785647812,,,,,0,384,384,,,
2.1348469205918605,inf,-inf,inf,inf,1,384,384,,,
2.0398450440465696,inf,-inf,inf,inf,1,384,384,,,
2.0353188931376978,inf,-inf,inf,inf,1,384,384,,,
2.2887077362412804,inf,-inf,inf,inf,1,384,384,,,
2.2465329523272795,inf,-inf,inf,inf,1,384,384,,,
2.0724198449410767,inf,-inf,inf,inf,1,384,384,,,
2.0986249227181473,inf,-inf,inf,inf,1,384,384,,,
2.1488548950359165,inf,-inf,inf,inf,1,384,384,,,
2.216567694658007,inf,-inf,inf,inf,1,384,384,,,
2.1545535353812775,inf,-inf,inf,inf,1,384,384,,,
2.2765585938263935,inf,-inf,inf,inf,1,384,384,,,
2.118852578058944,inf,-inf,inf,inf,1,384,384,,,
2.143487990111314,inf,-inf,inf,inf,1,384,384,,,
2.1399904432920276,inf,-inf,inf,inf,1,384,384,,,
2.2024234163045313,,,,,0,384,384,,,
2.2846895833845076,inf,-inf,inf,inf,1,384,384,,,
2.166165552647653,inf,-inf,inf,inf,1,384,384,,,
2.128775274419848,inf,-inf,inf,inf,1,384,384,,,
2.0741369725607215,inf,-inf,inf,inf,1,384,384,,,
2.0378113344736972,inf,-inf,inf,inf,1,384,384,,,
2.2631930031195164,inf,-inf,inf,inf,1,384,384,,,
2.224456851007777,inf,-inf,inf,inf,1,384,384,,,
2.328419765829379,inf,-inf,inf,inf,1,384,384,,,
2.1434413906024234,inf,-inf,inf,inf,1,384,384,,,
2.1901963024302074,inf,-inf,inf,inf,1,384,384,,,
2.0749941495001116,inf,-inf,inf,inf,1,384,384,,,
2.295067482001376,inf,-inf,inf,inf,1,384,384,,,
2.127969762028338,inf,-inf,inf,inf,1,384,384,,,
2.0892825919591935,inf,-inf,inf,inf,1,384,384,,,
2.113160694684039,inf,-inf,inf,inf,1,384,384,,,
2.2855049896103403,inf,-inf,inf,inf,1,384,384,,,
2.084474611225965,inf,-inf,inf,inf,1,384,384,,,
2.218852310577038,inf,-inf,inf,inf,1,384,384,,,
2.0360403466683232,inf,-inf,inf,inf,1,384,384,,,
2.1928603057324145,inf,-inf,inf,inf,1,384,384,,,
2.0086440422654928,inf,-inf,inf,inf,1,384,384,,,
2.0656012894370206,inf,-inf,inf,inf,1,384,384,,,
2.2865552213483116,inf,-inf,inf,inf,1,384,384,,,
2.05446757294594,inf,-inf,inf,inf,1,384,384,,,
2.18292604484954,inf,-inf,inf,inf,1,384,384,,,
2.2205934188411023,inf,-inf,inf,inf,1,384,384,,,
2.216637272711763,inf,-inf,inf,inf,1,384,384,,,
2.300977838258537,inf,-inf,inf,inf,1,384,384,,,
2.1659753586092574,inf,-inf,inf,inf,1,384,384,,,
2.2823294893916204,inf,-inf,inf,inf,1,384,384,,,
2.279149720831304,,,,,0,384,384,,,
2.028937474538557,,,,,0,384,384,,,
2.3185168341168714,inf,-inf,inf,inf,1,384,384,,,
2.198660384504493,inf,-inf,inf,inf,1,384,384,,,
2.139988784538266,,,,,0,384,384,,,
2.1494858427301824,,,,,0,384,384,,,
1.9374916901190031,inf,-inf,inf,inf,1,384,384,,,
2.1268687351761866,inf,-inf,inf,inf,1,384,384,,,
2.327887742073059,inf,-inf,inf,inf,1,384,384,,,
2.178699645467624,inf,-inf,inf,inf,1,384,384,,,
2.2711893600761757,inf,-inf,inf,inf,1,384,384,,,
2.0923051070258873,inf,-inf,inf,inf,1,384,384,,,
2.041009239121962,inf,-inf,inf,inf,1,384,384,,,
2.260359645570935,inf,-inf,inf,inf,1,384,384,,,
2.008929228930404,,,,,0,384,384,,,
2.0290417778294803,,,,,0,384,384,,,
1.9996855306225458,inf,-inf,inf,inf,1,384,384,,,
2.2911294738057753,inf,-inf,inf,inf,1,384,384,,,
2.154161606316689,inf,-inf,inf,inf,1,384,384,,,
2.121489935602755,inf,-inf,inf,inf,1,384,384,,,
2.139304695130842,inf,-inf,inf,inf,1,384,384,,,
2.013748487921281,inf,-inf,inf,inf,1,384,384,,,
2.2209330149174806,inf,-inf,inf,inf,1,384,384,,,
2.0833325455825777,inf,-inf,inf,inf,1,384,384,,,
2.24618241952812,,,,,0,384,384,,,
2.2014025741406518,inf,-inf,inf,inf,1,384,384,,,
2.239699601820872,inf,-inf,inf,inf,1,384,384,,,
2.173509964665141,inf,-inf,inf,inf,1,384,384,,,
2.072312356756549,,,,,0,384,384,,,
2.0908938556469816,inf,-inf,inf,inf,1,384,384,,,
2.0212475091923072,inf,-inf,inf,inf,1,384,384,,,
2.1820073343710016,inf,-inf,inf,inf,1,384,384,,,
2.135005596936223,inf,-inf,inf,inf,1,384,384,,,
2.0798588542280245,inf,-inf,inf,inf,1,384,384,,,
2.0788896361679865,inf,-inf,inf,inf,1,384,384,,,
2.1196485090333015,inf,-inf,inf,inf,1,384,384,,,
2.1606523262045956,inf,-inf,inf,inf,1,384,384,,,
2.2095431037090476,inf,-inf,inf,inf,1,384,384,,,
2.2280020671687093,inf,-inf,inf,inf,1,384,384,,,
2.103994054030057,inf,-inf,inf,inf,1,384,384,,,
2.1514620821591617,inf,-inf,inf,inf,1,384,384,,,
2.245615184873875,inf,-inf,inf,inf,1,384,384,,,
2.1508659920443414,inf,-inf,inf,inf,1,384,384,,,
2.0423225616568055,inf,-inf,inf,inf,1,384,384,,,
1.972735732888972,inf,-inf,inf,inf,1,384,384,,,
2.2571494043523788,inf,-inf,inf,inf,1,384,384,,,
2.056612783805574,inf,-inf,inf,inf,1,384,384,,,
