treatment_effect_hat,standard_error_HC3,ci_lower,ci_upper,ci_length,covered,n_selected_outcome_controls,n_selected_treatment_controls,lasso_penalty,outcome_lasso_penalty,treatment_lasso_penalty
2.300076594517503,inf,-inf,inf,inf,1,240,240,,,
2.183722156585738,inf,-inf,inf,inf,1,240,240,,,
2.2106716195454057,,,,,0,240,240,,,
2.2441463998099485,inf,-inf,inf,inf,1,240,240,,,
2.293710935728573,inf,-inf,inf,inf,1,240,240,,,
2.122171120070271,inf,-inf,inf,inf,1,240,240,,,
2.2247727207036747,inf,-inf,inf,inf,1,240,240,,,
2.1635589302445837,,,,,0,240,240,,,
2.2991863567525934,inf,-inf,inf,inf,1,240,240,,,
2.289275919395511,inf,-inf,inf,inf,1,240,240,,,
2.204898905372311,inf,-inf,inf,inf,1,240,240,,,
2.1962627642456667,,,,,0,240,240,,,
2.198062637310297,,,,,0,240,240,,,
2.16665606832451,inf,-inf,inf,inf,1,240,240,,,
2.085218153543777,inf,-inf,inf,inf,1,240,240,,,
2.1310913356304315,,,,,0,240,240,,,
2.315584117891997,inf,-inf,inf,inf,1,240,240,,,
2.0511754181203976,inf,-inf,inf,inf,1,240,240,,,
2.0596206545009563,inf,-inf,inf,inf,1,240,240,,,
2.0235747844734897,inf,-inf,inf,inf,1,240,240,,,
2.412164709222635,inf,-inf,inf,inf,1,240,240,,,
2.3272442542545635,,,,,0,240,240,,,
2.110015938935553,,,,,0,240,240,,,
2.1868976430610605,inf,-inf,inf,inf,1,240,240,,,
2.2247707686681597,inf,-inf,inf,inf,1,240,240,,,
2.3232394159442338,,,,,0,240,240,,,
2.269834359554224,inf,-inf,inf,inf,1,240,240,,,
2.2965858772474808,inf,-inf,inf,inf,1,240,240,,,
2.1646055349558875,,,,,0,240,240,,,
2.198663873781493,inf,-inf,inf,inf,1,240,240,,,
2.0464072980487193,inf,-inf,inf,inf,1,240,240,,,
2.2102719011529453,,,,,0,240,240,,,
2.084169749571114,inf,-inf,inf,inf,1,240,240,,,
2.2050974544643624,,,,,0,240,240,,,
2.187580979563113,inf,-inf,inf,inf,1,240,240,,,
2.153134693247475,,,,,0,240,240,,,
2.141836651431187,inf,-inf,inf,inf,1,240,240,,,
2.2734867823691913,inf,-inf,inf,inf,1,240,240,,,
2.2388929493305665,inf,-inf,inf,inf,1,240,240,,,
2.2981005884024612,inf,-inf,inf,inf,1,240,240,,,
2.309415921367556,,,,,0,240,240,,,
2.323757609455088,inf,-inf,inf,inf,1,240,240,,,
2.2947080140207934,inf,-inf,inf,inf,1,240,240,,,
2.227045231709326,inf,-inf,inf,inf,1,240,240,,,
2.32810314223446,,,,,0,240,240,,,
2.1964874799540657,inf,-inf,inf,inf,1,240,240,,,
2.30608866615111,,,,,0,240,240,,,
2.1753317102454726,inf,-inf,inf,inf,1,240,240,,,
2.214398839491832,inf,-inf,inf,inf,1,240,240,,,
2.255052387214549,inf,-inf,inf,inf,1,240,240,,,
2.194840796760613,inf,-inf,inf,inf,1,240,240,,,
2.204076703304067,inf,-inf,inf,inf,1,240,240,,,
1.9275500838417519,,,,,0,240,240,,,
2.229141217238919,inf,-inf,inf,inf,1,240,240,,,
2.2322773917561287,inf,-inf,inf,inf,1,240,240,,,
2.2242314586232212,inf,-inf,inf,inf,1,240,240,,,
2.2647966035388007,,,,,0,240,240,,,
2.370039742240327,inf,-inf,inf,inf,1,240,240,,,
2.105544313067699,inf,-inf,inf,inf,1,240,240,,,
2.123725331709628,inf,-inf,inf,inf,1,240,240,,,
2.0982519804121296,inf,-inf,inf,inf,1,240,240,,,
2.17877973838112,inf,-inf,inf,inf,1,240,240,,,
2.3630851546547973,inf,-inf,inf,inf,1,240,240,,,
2.1560695541111867,inf,-inf,inf,inf,1,240,240,,,
2.115435653759641,inf,-inf,inf,inf,1,240,240,,,
2.0980941199766896,inf,-inf,inf,inf,1,240,240,,,
2.1570115256865785,,,,,0,240,240,,,
2.209440161011237,inf,-inf,inf,inf,1,240,240,,,
2.332378131748794,inf,-inf,inf,inf,1,240,240,,,
2.2837094378517495,inf,-inf,inf,inf,1,240,240,,,
2.1292498737316055,inf,-inf,inf,inf,1,240,240,,,
2.2604630094149787,inf,-inf,inf,inf,1,240,240,,,
2.1982202183888195,inf,-inf,inf,inf,1,240,240,,,
2.204630358616982,,,,,0,240,240,,,
2.091403486271867,inf,-inf,inf,inf,1,240,240,,,
2.3683500141977856,inf,-inf,inf,inf,1,240,240,,,
2.169050461490435,inf,-inf,inf,inf,1,240,240,,,
2.1371101410529283,,,,,0,240,240,,,
2.2359059540836506,inf,-inf,inf,inf,1,240,240,,,
2.006953880330943,inf,-inf,inf,inf,1,240,240,,,
2.21270762745361,inf,-inf,inf,inf,1,240,240,,,
